 id  | damageMinimum | damageMaximum | buildCost | towerId
-----+---------------+---------------+-----------+---------
   1 |             8 |            15 |       125 |       1
   2 |            20 |            40 |       220 |       2
   3 |            30 |            60 |       320 |       3
   4 |            50 |           100 |       400 |       4
   5 |            60 |           110 |       375 |       5
   6 |             8 |            15 |       125 |       6
   7 |            20 |            40 |       220 |       7
   8 |            30 |            60 |       320 |       8
   9 |            25 |            45 |       400 |       9
  10 |            25 |            55 |       375 |      10
  11 |             7 |            12 |       125 |      11
  12 |            18 |            30 |       220 |      12
  13 |            30 |            50 |       320 |      13
  14 |            30 |            50 |       375 |      14
  15 |            62 |           106 |       400 |      15
  16 |             9 |            17 |       100 |      16
  17 |            23 |            43 |       160 |      17
  18 |            40 |            74 |       240 |      18
  19 |            76 |           140 |       300 |      19
  20 |            42 |            78 |       300 |      20
  21 |             9 |            17 |       100 |      21
  22 |            23 |            43 |       160 |      22
  23 |            40 |            74 |       240 |      23
  24 |            60 |           120 |       300 |      24
  25 |            20 |            70 |       300 |      25
  26 |             8 |            12 |       100 |      26
  27 |            18 |            30 |       160 |      27
  28 |            34 |            56 |       250 |      28
  29 |             8 |            16 |       300 |      29
  30 |            41 |            74 |       300 |      30
  31 |             4 |             6 |        70 |      31
  32 |             7 |            11 |       110 |      32
  33 |            10 |            16 |       160 |      33
  34 |            13 |            19 |       230 |      34
  35 |            35 |            65 |       230 |      35
  36 |             4 |             6 |        70 |      36
  37 |             7 |            11 |       110 |      37
  38 |            10 |            16 |       160 |      38
  39 |            15 |            23 |       230 |      39
  40 |            25 |            40 |       230 |      40
  41 |             2 |             5 |        70 |      41
  42 |             4 |             9 |       110 |      42
  43 |             5 |            11 |       160 |      43
  44 |            22 |            36 |       230 |      44
  45 |            45 |            60 |       275 |      45
  46 |             1 |             3 |        70 |      46
  47 |             3 |             4 |       110 |      47
  48 |             6 |            10 |       160 |      48
  49 |            12 |            18 |       230 |      49
  50 |            16 |            24 |       230 |      50
  51 |             1 |             3 |        70 |      51
  52 |             3 |             4 |       110 |      52
  53 |             6 |            10 |       160 |      53
  54 |            10 |            14 |       230 |      54
  55 |            20 |            30 |       230 |      55
  56 |             1 |             4 |       100 |      56
  57 |             3 |             7 |       160 |      57
  58 |             8 |            12 |       250 |      58
  59 |            10 |            14 |       275 |      59
  60 |            24 |            36 |       300 |      60
  61 |             2 |             3 |       110 |      61
  62 |             4 |            10 |       160 |      62
  63 |             7 |            20 |       220 |      63
  64 |            12 |            36 |       260 |      64
  65 |             3 |             4 |        90 |      65
  66 |             7 |            14 |       140 |      66
  67 |            14 |            26 |       200 |      67
  68 |            25 |            47 |       270 |      68
  69 |             2 |             4 |        60 |      69
  70 |             5 |            11 |       110 |      70
  71 |             9 |            20 |       150 |      71
  72 |            14 |            34 |       180 |      72
  73 |             1 |             3 |        70 |      73
  74 |             3 |             4 |       110 |      74
  75 |             5 |             7 |       160 |      75
  76 |             9 |            14 |       230 |      76
  77 |             3 |             4 |        80 |      77
  78 |             7 |            11 |       120 |      78
  79 |            14 |            21 |       190 |      79
  80 |            23 |            34 |       280 |      80
  81 |             5 |             7 |       120 |      81
  82 |            14 |            18 |       190 |      82
  83 |            25 |            31 |       240 |      83
  84 |            41 |            50 |       300 |      84
  85 |             7 |            10 |       120 |      85
  86 |            20 |            29 |       210 |      86
  87 |            40 |            58 |       310 |      87
  88 |            64 |            92 |       370 |      88
  89 |             5 |            16 |       100 |      89
  90 |            16 |            49 |       180 |      90
  91 |            33 |           100 |       250 |      91
  92 |            49 |           146 |       300 |      92
  93 |             5 |             7 |       100 |      93
  94 |            10 |            13 |       150 |      94
  95 |            15 |            25 |       200 |      95
  96 |            25 |            35 |       250 |      96
  97 |             5 |             8 |       110 |      97
  98 |            13 |            20 |       130 |      98
  99 |            26 |            38 |       170 |      99
 100 |            48 |            71 |       230 |     100
 101 |             4 |            20 |       130 |     101
 102 |            10 |            55 |       190 |     102
 103 |            20 |           110 |       260 |     103
 104 |            35 |           190 |       320 |     104
(104 rows)
