 id  |         name          | towerType | level |         kingdom
-----+-----------------------+-----------+-------+-------------------------
   1 | dwarven bombard       | artillery | 1     | kingdom rush
   2 | dwarven artillery     | artillery | 2     | kingdom rush
   3 | dwarven howitzer      | artillery | 3     | kingdom rush
   4 | 500mm big bertha      | artillery | 4     | kingdom rush
   5 | tesla x104            | artillery | 4     | kingdom rush
   6 | dwarven bombard       | artillery | 1     | kingdom rush: frontiers
   7 | dwarven artillery     | artillery | 2     | kingdom rush: frontiers
   8 | dwarven howitzer      | artillery | 3     | kingdom rush: frontiers
   9 | dwaarp                | artillery | 4     | kingdom rush: frontiers
  10 | battle-mecha t-200    | artillery | 4     | kingdom rush: frontiers
  11 | stone cirlce          | artillery | 1     | kingdom rush: origin
  12 | boulder circle        | artillery | 2     | kingdom rush: origin
  13 | menhir cirlce         | artillery | 3     | kingdom rush: origin
  14 | arch-druid henge      | artillery | 4     | kingdom rush: origin
  15 | weirdwood             | artillery | 4     | kingdom rush: origin
  16 | mage tower            | mage      | 1     | kingdom rush
  17 | adept tower           | mage      | 2     | kingdom rush
  18 | wizard tower          | mage      | 3     | kingdom rush
  19 | arcane tower          | mage      | 4     | kingdom rush
  20 | sorcerer tower        | mage      | 4     | kingdom rush
  21 | mage tower            | mage      | 1     | kingdom rush: frontiers
  22 | adept tower           | mage      | 2     | kingdom rush: frontiers
  23 | wizard tower          | mage      | 3     | kingdom rush: frontiers
  24 | archmage tower        | mage      | 4     | kingdom rush: frontiers
  25 | necromancer tower     | mage      | 4     | kingdom rush: frontiers
  26 | mystic dais           | mage      | 1     | kingdom rush: origin
  27 | arcanist dais         | mage      | 2     | kingdom rush: origin
  28 | eldritch dais         | mage      | 3     | kingdom rush: origin
  29 | wild magus            | mage      | 4     | kingdom rush: origin
  30 | high elven mage       | mage      | 4     | kingdom rush: origin
  31 | archer tower          | archer    | 1     | kingdom rush
  32 | marksman tower        | archer    | 2     | kingdom rush
  33 | sharpshooter tower    | archer    | 3     | kingdom rush
  34 | rangers hideout       | archer    | 4     | kingdom rush
  35 | musketeer garrison    | archer    | 4     | kingdom rush
  36 | archer tower          | archer    | 1     | kingdom rush: frontiers
  37 | marksman tower        | archer    | 2     | kingdom rush: frontiers
  38 | sharpshooter tower    | archer    | 3     | kingdom rush: frontiers
  39 | crossbow fort         | archer    | 4     | kingdom rush: frontiers
