 id |          name           |                                                                                                                                    description                                                                                                                                    | towerId 
----+-------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------
  1 | poison arrows           | Poisons anemies, causing them to take True damage over a three of seconds. Effects does not stack. True damage ignores any armore or magic resistance that an enemy has. Every upgrade level increases the damage dealt per second.                                               |      34
  2 | wrath of the forest     | Summons thorns and vines that trap up to 8 enemies in the range, dealing 40 physical damage every second. Cooldown is 8 seconds. Excludes bosses and mini bosses. Does not affect enemies immune to physical damage. Every upgrade level increases the duration in seconds.       |      34
  3 | sniper shot             | Long range shot with increasing chance of instantly killing an anemy or dealing massive physical damage. Cooldown is 14 seconds Every upgrade level increase the chance of instantly killing an enemy.                                                                            |      35
  4 | shrapnel shot           | short range short that blasts an area with shrapnel, dealing explosive damage to all nearby enemies, inlcuding flying enemies with range. Does not aim for flying enemies themselves. Cooldown is 9 seconds. Every upgrade level increases the damage dealt.                      |      35
  5 | healing light           | paladins can heal themselves every 10 seconds, does not remove debuffs. Every upgrade level increases the amount of healing.                                                                                                                                                      |      49
  6 | shield of valor         | enhance's paladins' protection improving their armor.                                                                                                                                                                                                                             |      49
  7 | holy strike             | paladin attack have 10% chance of becoming a holy strike, dealing physical damage in a small area. Every upgrade level increases the damage dealt.                                                                                                                                |      49
  8 | death ray               | disintegrates an enemy into fine creep dust. Every upgrade level decreases the cooldown of the ability.                                                                                                                                                                           |      19
  9 | teleport                | teleports a group of enimes back down the path. cooldown is 10 seconds. Every upgrade level increases the maximum number of targets and the transfer distance.                                                                                                                    |      19
 10 | polymorph               | turns enemies into harmless sheep. sheep are very weak but cannot be blocked. sheep can be tapped to death. Every upgrade level decreases the cooldown of the ability.                                                                                                            |      20
 11 | summon elemental        | summons an earth elemental, to block and attack your enemies. Every upgrade level increases the health, armor and damage dealt of the elemental.                                                                                                                                  |      20
 12 | dragonbreath launcher   | launches a seeking missile with extra range that never miss. they find another target if they lose the current one. Every upgrade level increases the damage and detection range.                                                                                                 |       4
 13 | cluster launcher xtreme | fires a special bom which will explode in the air dropping multiple bomblets in the area. Every upgrade level increases the number of bomblets.                                                                                                                                   |       4
 14 | overcharge              | creates a static field around the tower when attacking dealing explosive to all nearby enemies. Every upgrade level increases the damage dealt by the field.                                                                                                                      |       5
 15 | supercharged bolt       | increases the maximum number of targets that the bolt arcs to. base is 3 targets. Every upgrade level increase the number of maximum targets.                                                                                                                                     |       5
 16 | barrage                 | shoots bolts that deals damagage in quick succession                                                                                                                                                                                                                              |      39
 17 | falconer                | gains a chance to deal double damage and improves attack range of all towers in its range (including itself). every upgrade level, increases the extra range and the critical chance of dealing double damage                                                                     |      39
 18 | totem of weakness       | creates a totem that weakens nearby enemies and makes them suffer more damage from sources. every upgrade level increases the duration                                                                                                                                            |      40
 19 | totem of spirits        | creates a totem that dispels all magic and silences spellcaster in range. every upgrade level increases the duration                                                                                                                                                              |      40
 20 | sneak attack            | attacks gain a chance to bbecome sneak attacks, which deal physical damage and have a chance of instant kill. every upgrade level increases the damage, sneak attack chance and instant kill chance.                                                                              |      54
