 id  | level | cost | abilityId 
-----+-------+------+-----------
   1 |     0 |  250 |         1
   2 |     1 |  250 |         1
   3 |     2 |  250 |         1
   4 |     0 |  300 |         2
   5 |     1 |  150 |         2
   6 |     2 |  150 |         2
   7 |     0 |  250 |         3
   8 |     1 |  250 |         3
   9 |     2 |  250 |         3
  10 |     0 |  300 |         4
  11 |     1 |  300 |         4
  12 |     2 |  300 |         4
  13 |     0 |  150 |         5
  14 |     1 |  150 |         5
  15 |     2 |  150 |         5
  16 |     0 |  250 |         6
  17 |     0 |  220 |         7
  18 |     1 |  150 |         7
  19 |     2 |  150 |         7
  20 |     0 |  200 |         8
  21 |     1 |  100 |         8
  22 |     2 |  100 |         8
  23 |     0 |  150 |         9
  24 |     1 |   75 |         9
  25 |     2 |   75 |         9
  26 |     0 |  300 |        10
  27 |     1 |  100 |        10
  28 |     2 |  100 |        10
  29 |     0 |  350 |        11
  30 |     1 |  200 |        11
  31 |     2 |  200 |        11
  32 |     0 |  300 |        12
  33 |     1 |  100 |        12
  34 |     2 |  100 |        12
  35 |     0 |  300 |        13
  36 |     1 |  150 |        13
  37 |     2 |  150 |        13
  38 |     0 |  350 |        14
  39 |     1 |  150 |        14
  40 |     2 |  150 |        14
  41 |     0 |  250 |        15
  42 |     1 |  100 |        15
  43 |     2 |  100 |        15
  44 |     0 |  250 |        16
  45 |     1 |  150 |        16
  46 |     2 |  150 |        16
  47 |     0 |  250 |        17
  48 |     1 |  125 |        17
  49 |     2 |  125 |        17
  50 |     0 |  250 |        18
  51 |     1 |  250 |        18
  52 |     0 |  250 |        19
  53 |     1 |  150 |        19
  54 |     2 |  150 |        19
  55 |     0 |  200 |        20
  56 |     1 |  200 |        20
  57 |     2 |  200 |        20
  58 |     0 |  250 |        21
  59 |     1 |  200 |        21
  60 |     2 |  200 |        21
  61 |     0 |  150 |        22
  62 |     1 |  150 |        22
  63 |     2 |  150 |        22
  64 |     0 |  225 |        23
  65 |     1 |  150 |        23
  66 |     2 |  150 |        23
  67 |     0 |  150 |        24
  68 |     1 |  100 |        24
  69 |     2 |  100 |        24
  70 |     0 |  100 |        25
  71 |     1 |  100 |        25
  72 |     0 |  200 |        26
  73 |     1 |  200 |        26
  74 |     2 |  200 |        26
  75 |     0 |  250 |        27
  76 |     1 |  150 |        27
  77 |     2 |  150 |        27
  78 |     0 |  250 |        28
  79 |     1 |  150 |        28
  80 |     2 |  150 |        28
  81 |     0 |  350 |        29
  82 |     1 |  250 |        29
  83 |     2 |  250 |        29
  84 |     0 |  200 |        30
  85 |     1 |  200 |        30
  86 |     2 |  200 |        30
  87 |     0 |  325 |        31
  88 |     1 |  200 |        31
  89 |     2 |  200 |        31
  90 |     0 |  300 |        32
  91 |     1 |  150 |        32
  92 |     2 |  150 |        32
  93 |     0 |  400 |        33
  94 |     1 |  200 |        33
  95 |     2 |  200 |        33
  96 |     0 |  300 |        34
  97 |     1 |  250 |        34
  98 |     2 |  250 |        34
  99 |     0 |  300 |        35
 100 |     1 |  250 |        35
 101 |     0 |  250 |        36
 102 |     1 |  200 |        36
 103 |     2 |  200 |        36
 104 |     0 |  200 |        37
 105 |     1 |  200 |        37
 106 |     2 |  200 |        37
 107 |     0 |  180 |        38
 108 |     1 |  180 |        38
 109 |     2 |  180 |        38
 110 |     0 |  300 |        39
 111 |     1 |  300 |        39
 112 |     2 |  300 |        39
 113 |     0 |  225 |        40
 114 |     1 |  225 |        40
 115 |     2 |  225 |        40
 116 |     0 |  175 |        41
 117 |     1 |  175 |        41
 118 |     2 |  175 |        41
 119 |     0 |  200 |        42
 120 |     0 |  250 |        43
 121 |     1 |  250 |        43
 122 |     2 |  250 |        43
 123 |     0 |  185 |        44
 124 |     1 |  185 |        44
 125 |     2 |  185 |        44
 126 |     0 |  285 |        45
 127 |     1 |  285 |        45
 128 |     0 |  250 |        46
 129 |     1 |  250 |        46
 130 |     2 |  250 |        46
 131 |     0 |  325 |        47
 132 |     1 |  185 |        47
 133 |     2 |  185 |        47
 134 |     0 |  225 |        48
 135 |     1 |  225 |        48
 136 |     2 |  225 |        48
 137 |     0 |  225 |        49
 138 |     1 |  225 |        49
 139 |     2 |  225 |        49
 140 |     0 |  300 |        50
 141 |     1 |  300 |        50
 142 |     0 |  250 |        51
 143 |     1 |  250 |        51
 144 |     2 |  250 |        51
 145 |     0 |  350 |        52
 146 |     1 |  350 |        52
 147 |     0 |  330 |        53
 148 |     1 |  330 |        53
 149 |     2 |  330 |        53
 150 |     0 |  225 |        54
 151 |     1 |  225 |        54
 152 |     2 |  225 |        54
 153 |     0 |  120 |        55
 154 |     1 |  120 |        55
 155 |     2 |  120 |        55
 156 |     0 |  300 |        56
 157 |     1 |  100 |        56
 158 |     2 |  100 |        56
 159 |     0 |  200 |        57
 160 |     1 |  200 |        57
 161 |     0 |  180 |        58
 162 |     1 |  180 |        58
 163 |     0 |  150 |        59
 164 |     0 |  120 |        60
 165 |     1 |  120 |        60
 166 |     0 |  150 |        61
 167 |     1 |  150 |        61
 168 |     0 |  200 |        62
 169 |     1 |  200 |        62
 170 |     2 |  200 |        62
 171 |     0 |  220 |        63
 172 |     1 |  220 |        63
 173 |     0 |  300 |        64
 174 |     1 |  300 |        64
 175 |     2 |  300 |        64
 176 |     0 |  150 |        65
 177 |     1 |  150 |        65
 178 |     0 |  250 |        66
 179 |     1 |  250 |        66
 180 |     0 |  280 |        67
 181 |     1 |  280 |        67
 182 |     2 |  280 |        67
 183 |     0 |  150 |        68
 184 |     1 |  150 |        68
 185 |     2 |  150 |        68
 186 |     0 |  200 |        69
 187 |     0 |  140 |        70
 188 |     1 |  180 |        70
 189 |     0 |  200 |        71
 190 |     1 |  200 |        71
 191 |     0 |  250 |        72
 192 |     0 |  250 |        73
 193 |     1 |  250 |        73
 194 |     0 |  300 |        74
 195 |     1 |  150 |        74
 196 |     0 |  200 |        75
 197 |     1 |  100 |        75
 198 |     2 |  100 |        75
 199 |     0 |  200 |        76
 200 |     1 |  100 |        76
 201 |     2 |  100 |        76
 202 |     0 |  130 |        77
 203 |     1 |  130 |        77
 204 |     2 |  130 |        77
 205 |     0 |  200 |        78
 206 |     1 |  200 |        78
 207 |     2 |  200 |        78
 208 |     0 |  180 |        79
