 id  |         name          | level |         kingdom         | towerType |                                                imageUrl                                                
-----+-----------------------+-------+-------------------------+-----------+--------------------------------------------------------------------------------------------------------
   1 | dwarven bombard       | 1     | kingdom rush            | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-artillery-1-dwarven-bombard.png
   2 | dwarven artillery     | 2     | kingdom rush            | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-artillery-2-dwarven-artillery.png
   3 | dwarven howitzer      | 3     | kingdom rush            | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-artillery-3-dwarven-howitzer.png
   4 | 500mm big bertha      | 4     | kingdom rush            | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-artillery-4a-500mm-big-bertha.png
   5 | tesla x104            | 4     | kingdom rush            | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-artillery-tesla-x104-4b.png
   6 | dwarven bombard       | 1     | kingdom rush: frontiers | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-artillery-1-dwarven-bombard.png
   7 | dwarven artillery     | 2     | kingdom rush: frontiers | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-artillery-2-dwarven-artillery.png
   8 | dwarven howitzer      | 3     | kingdom rush: frontiers | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-artillery-3-dwarven-howitzer.png
   9 | dwaarp                | 4     | kingdom rush: frontiers | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-artillery-4b-dwaarp.png
  10 | battle-mecha t200     | 4     | kingdom rush: frontiers | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-artillery-4a-battler-mecha-t200.png
  11 | stone circle          | 1     | kingdom rush: origins   | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-artillery-1-stone-circle.png
  12 | boulder circle        | 2     | kingdom rush: origins   | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-artillery-2-boulder-circle.png
  13 | menhir circle         | 3     | kingdom rush: origins   | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-artillery-3-menhir-circle.png
  14 | arch-druid henge      | 4     | kingdom rush: origins   | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-artillery-4a-arch-druid-henge.png
  15 | weirdwood             | 4     | kingdom rush: origins   | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-artillery-4b-weirdwood.png
  16 | mage tower            | 1     | kingdom rush            | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-mage-1-mage-tower.png
  17 | adept tower           | 2     | kingdom rush            | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-mage-2-adept-tower.png
  18 | wizard tower          | 3     | kingdom rush            | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-mage-3-wizard-tower.png
  19 | arcane wizard         | 4     | kingdom rush            | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-mage-4a-arcane-tower.png
  20 | sorcerer mage         | 4     | kingdom rush            | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-mage-4b.png
  21 | mage tower            | 1     | kingdom rush: frontiers | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-mage-1-mage-tower.png
  22 | adept tower           | 2     | kingdom rush: frontiers | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-mage-2-adept-tower.png
  23 | wizard tower          | 3     | kingdom rush: frontiers | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-mage-3-wizard-tower.png
  24 | archmage tower        | 4     | kingdom rush: frontiers | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-mage-4b-archmage-tower.png
  25 | necromancer tower     | 4     | kingdom rush: frontiers | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-mage-4a-necromancer-tower.png
  26 | mystic dais           | 1     | kingdom rush: origins   | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-mage-1-mystic-dais.png
  27 | arcanist dais         | 2     | kingdom rush: origins   | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-mage-2-arcanis-dais.png
  28 | eldritch dais         | 3     | kingdom rush: origins   | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-mage-3-eldritch-dais.png
  29 | wild magus            | 4     | kingdom rush: origins   | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-mage-4b-wild-magus.png
  30 | high elven mage       | 4     | kingdom rush: origins   | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-magic-4a-high-elven-mage.png
  31 | archer tower          | 1     | kingdom rush            | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-ranged-1-archer-tower.png
  32 | marksman tower        | 2     | kingdom rush            | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-ranged-2-marksman-tower.png
  33 | sharpshooter tower    | 3     | kingdom rush            | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-ranged-3-sharpshooter-tower.png
  34 | rangers hideout       | 4     | kingdom rush            | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-ranged-4a-rangers-hideout.png
  35 | musketeer garrison    | 4     | kingdom rush            | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-ranged-4b-musketeer-garrison.png
  36 | archer tower          | 1     | kingdom rush: frontiers | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-ranged-1-archer-tower.png
  37 | marksman tower        | 2     | kingdom rush: frontiers | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-ranged-2-marksman-tower.png
  38 | sharpshooter tower    | 3     | kingdom rush: frontiers | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-ranged-3-sharpshooter-tower.png
  39 | crossbow fort         | 4     | kingdom rush: frontiers | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-ranged-4b-crossbow-fort.png
  40 | tribal axethrowers    | 4     | kingdom rush: frontiers | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-ranged-4a-tribal-axethrowers.png
  41 | hunter arbor          | 1     | kingdom rush: origins   | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-ranged-1-hunter-arbor.png
  42 | watcher arbor         | 2     | kingdom rush: origins   | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-ranged-2-watcher-arbor.png
  43 | sentinel arbor        | 3     | kingdom rush: origins   | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-ranged-3-sentinel-arbor.png
  44 | arcane archers        | 4     | kingdom rush: origins   | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-ranged-4b-arcane-archers.png
  45 | golden longbows       | 4     | kingdom rush: origins   | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-ranged-4a-golden-longbows.png
  46 | militia barracks      | 1     | kingdom rush            | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-barracks-1-militia-barracks.png
  47 | footmen barracks      | 2     | kingdom rush            | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-barracks-2-footmen-barracks.png
  48 | knights barracks      | 3     | kingdom rush            | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-barracks-3-knights-barracks.png
  49 | holy order            | 4     | kingdom rush            | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-barracks-4a-holy-order.png
  50 | barbarian mead hall   | 4     | kingdom rush            | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kr-barracks-4b-barbarian-hall.png
  51 | militia barracks      | 1     | kingdom rush: frontiers | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-barracks-1-militia-barracks.png
  52 | footmen barracks      | 2     | kingdom rush: frontiers | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-barracks-footmen-barracks-2.png
  53 | knights barracks      | 3     | kingdom rush: frontiers | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-barracks-3-knights-barracks.png
  54 | assassin's guild      | 4     | kingdom rush: frontiers | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-barracks-4b-assassins-guild.png
  55 | knights templar       | 4     | kingdom rush: frontiers | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krf-barracks-4a-knights-templar.png
  56 | defender barracks     | 1     | kingdom rush: origins   | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-barracks-1-defender-barracks.png
  57 | warden barracks       | 2     | kingdom rush: origins   | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-barracks-2-warden-barracks.png
  58 | ranger barracks       | 3     | kingdom rush: origins   | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-barracks-3-ranger-barracks.png
  59 | bladesinger hall      | 4     | kingdom rush: origins   | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-barracks-4b-bladesinger-hall.png
  60 | forest keepers        | 4     | kingdom rush: origins   | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/kro-barracks-4a-forest-keeper.png
  61 | dark knights, 1       | 1     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-dark-knight-1.png
  62 | dark knights, 2       | 2     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-dark-knight-2.png
  63 | dark knights, 3       | 3     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-dark-knight-3.png
  64 | dark knights, 4       | 4     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-dark-knight-4.png
  65 | goblirangs, 1         | 1     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-goblirangs-1.png
  66 | goblirangs, 2         | 2     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-goblirangs-2.png
  67 | goblirangs, 3         | 3     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-goblirangs-3.png
  68 | goblirangs, 4         | 4     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-goblirangs-4.png
  69 | bone flingers, 1      | 1     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-bone-flinger-1.png
  70 | bone flingers, 2      | 2     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-bone-flinger-2.png
  71 | bone flingers, 3      | 3     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-bone-flinger-3.png
  72 | bone flingers, 4      | 4     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-bone-flinger-4.png
  73 | orc warriors den, 1   | 1     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-orc1.png
  74 | orc warriors den, 2   | 2     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-orc2.png
  75 | orc warriors den, 3   | 3     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-orc3.png
